Date,Price,Open,High,Low,Vol,d1_diff_rate
"May 19, 2020",696.36,696.01,696.39,687.67,1.82B,0.8
"May 18, 2020",690.85,695.17,695.9,688.88,1.47B,-0.16
"May 15, 2020",691.93,695.8,696.91,686.23,1.36B,0.2
"May 14, 2020",690.57,687.92,693.68,684.33,1.57B,-0.14
"May 13, 2020",691.53,676.53,691.57,676.24,1.51B,1.07
"May 12, 2020",684.21,687.48,688.37,673.66,1.49B,-0.12
"May 11, 2020",685.04,686.81,690.34,676.6,1.54B,0.4
"May 08, 2020",682.3,674.01,682.94,673.52,1.68B,2.11
"May 07, 2020",668.17,659.45,669.03,658.93,1.74B,1.48
"May 06, 2020",658.4,650.15,658.4,647.52,1.51B,2.57
"May 04, 2020",641.91,637,648.57,635.16,1.28B,-0.51
"Apr 29, 2020",645.18,646.33,648.42,644.06,1.69B,0.04
"Apr 28, 2020",644.93,649.46,651.39,638.69,1.77B,-0.3
"Apr 27, 2020",646.86,638.9,647.11,638.58,1.72B,2.2
"Apr 24, 2020",632.96,640.19,645.22,629.12,1.78B,-1.68
"Apr 23, 2020",643.79,640.13,645.54,637.33,1.66B,1.36
"Apr 22, 2020",635.16,618.95,635.31,616.88,1.46B,1.02
"Apr 21, 2020",628.77,634.76,641.07,602.05,2.16B,-1.42
"Apr 20, 2020",637.82,635.71,643.05,634.2,1.57B,0.48
"Apr 17, 2020",634.79,631.34,634.79,628.05,1.64B,1.82
"Apr 16, 2020",623.43,606.69,623.59,603.15,1.37B,2.15
"Apr 14, 2020",610.29,605.14,611.36,602.05,1.60B,2.28
"Apr 13, 2020",596.71,609.94,611.06,596.71,2.01B,-2.38
"Apr 10, 2020",611.26,617.75,618.08,593.01,2.00B,-0.76
"Apr 09, 2020",615.95,616.67,618.37,610.66,1.81B,1.41
"Apr 08, 2020",607.37,604.46,615.32,599.3,2.36B,0.08
"Apr 07, 2020",606.9,606.21,606.9,593.22,2.11B,1.62
"Apr 06, 2020",597.21,579.25,597.21,577.83,1.53B,4.22
"Apr 03, 2020",573.01,571.29,576.27,564.02,1.37B,0.94
"Apr 02, 2020",567.7,555.4,567.7,542.75,1.68B,2.87
"Apr 01, 2020",551.84,568.88,579.76,551.3,1.90B,-3.03
"Mar 31, 2020",569.07,551.48,569.07,551.25,1.87B,4.97
"Mar 30, 2020",542.11,513.13,542.12,511.47,1.43B,3.69
"Mar 27, 2020",522.83,535.94,540.04,502.48,1.98B,1.2
"Mar 26, 2020",516.61,506.51,533.33,501.82,1.65B,2.16
"Mar 25, 2020",505.68,496.32,506.43,488.98,1.44B,5.26
"Mar 24, 2020",480.4,457.21,480.4,454.24,1.14B,8.26
"Mar 23, 2020",443.76,443.51,455.97,435.81,1.09B,-5.13
"Mar 20, 2020",467.75,443.88,467.75,435.11,1.24B,9.2
"Mar 19, 2020",428.35,501.59,502.12,419.55,1.65B,-11.71
"Mar 18, 2020",485.14,520.79,526.1,485.14,1.32B,-5.75
"Mar 17, 2020",514.73,488.02,518.72,483.51,1.37B,2.03
"Mar 16, 2020",504.51,538.68,541.87,504.51,1.20B,-3.72
"Mar 13, 2020",524,536.62,540.3,487.07,1.52B,-7.01
"Mar 12, 2020",563.49,589.2,594.32,555.47,1.64B,-5.39
"Mar 11, 2020",595.61,621.12,622.07,591.38,1.57B,-3.93
"Mar 10, 2020",619.97,606.89,619.98,604.51,1.43B,0.87
"Mar 09, 2020",614.6,631.13,632.52,614.58,1.32B,-4.38
"Mar 06, 2020",642.72,642.33,647.83,637.2,1.11B,-1.15
"Mar 05, 2020",650.19,647.75,650.81,643.97,1.08B,1.32
"Mar 04, 2020",641.73,623.75,641.73,623.55,1.10B,2.38
"Mar 03, 2020",626.82,641.65,641.77,626.71,1.23B,-0.13
"Mar 02, 2020",627.66,617.88,627.71,607.32,1.19B,2.77
"Feb 28, 2020",610.73,626.36,631.25,608.38,1.39B,-4.3
"Feb 27, 2020",638.17,654.61,660.89,634.79,1.23B,-2.51
"Feb 26, 2020",654.63,644.02,658.29,642.98,1.14B,-0.35
"Feb 25, 2020",656.95,639.28,656.96,633.65,1.21B,2.76
"Feb 24, 2020",639.29,653.4,656.31,639.22,1.48B,-4.3
"Feb 21, 2020",667.99,673.57,680.28,667.47,1.43B,-2.01
"Feb 20, 2020",681.66,687.65,688.51,677.99,1.46B,-0.46
"Feb 19, 2020",684.78,686.89,688.11,673.64,1.60B,0.27
"Feb 18, 2020",682.92,691.42,692.52,681.44,1.78B,-1.4
"Feb 17, 2020",692.59,690.35,692.64,686.73,1.52B,0.53
"Feb 14, 2020",688.91,687.23,692,685.67,1.50B,0.19
"Feb 13, 2020",687.61,689.54,691.43,681.77,1.35B,0.15
"Feb 12, 2020",686.59,683.26,686.79,680.26,1.33B,0.62
"Feb 11, 2020",682.34,678.97,682.34,678.43,1.17B,0.93
"Feb 10, 2020",676.07,669.53,676.08,668.1,979.10M,0.51
"Feb 07, 2020",672.63,673.11,674.03,667.93,1.02B,-0.01
"Feb 06, 2020",672.69,665.94,672.69,665.88,946.33M,1.72
"Feb 05, 2020",661.32,666.74,668.91,658.03,991.28M,0.01
"Feb 04, 2020",661.24,650.72,661.24,649.22,938.25M,2.22
"Feb 03, 2020",646.85,631.82,648.34,627.65,1.19B,0.68
"Jan 31, 2020",642.48,660.98,664.77,641.57,1.34B,-2.12
"Jan 30, 2020",656.39,670.65,673.17,652.42,1.21B,-2.06
"Jan 29, 2020",670.18,671.08,671.98,664.09,1.06B,0.82
"Jan 28, 2020",664.7,660.79,668.22,658.78,1.16B,-3.04
"Jan 23, 2020",685.57,685.94,687.71,683.52,957.78M,-0.39
"Jan 22, 2020",688.25,677.05,688.28,677.05,1.01B,1.73
"Jan 21, 2020",676.52,683.82,685.89,675.48,1.03B,-1.02
"Jan 20, 2020",683.47,690.85,691.17,682.48,1.02B,-0.72
"Jan 17, 2020",688.41,689.73,690.61,686.68,1.03B,0.28
"Jan 16, 2020",686.52,679.67,686.52,679.49,880.29M,1.08
"Jan 15, 2020",679.16,678.83,681.39,676.91,908.21M,0.07
"Jan 14, 2020",678.71,682.14,685.88,676.78,897.26M,-0.08
"Jan 13, 2020",679.22,673.76,679.22,673.23,894.40M,0.92
"Jan 10, 2020",673.03,668.79,673.03,665.92,837.39M,1.04
"Jan 09, 2020",666.09,657.01,666.09,656.25,980.62M,3.92
"Jan 08, 2020",640.94,657.24,658.14,637.43,1.38B,-3.39
"Jan 07, 2020",663.44,660.87,664.21,659.18,970.31M,1.24
"Jan 06, 2020",655.31,660.08,663.1,653.61,884.28M,-2.18
"Jan 03, 2020",669.93,677.57,679.37,668.1,903.86M,-0.61
"Jan 02, 2020",674.02,672.53,674.3,666.62,783.73M,0.63
