Date,Price,Open,High,Low,Vol,Change 
"Jul 20, 2020","2,198.20","2,209.59","2,209.59","2,183.83",686.82M,-0.14
"Jul 17, 2020","2,201.19","2,187.85","2,204.20","2,187.85",569.30M,0.8
"Jul 16, 2020","2,183.76","2,203.30","2,207.34","2,177.82",784.64M,-0.82
"Jul 15, 2020","2,201.88","2,208.73","2,216.97","2,190.66",830.27M,0.84
"Jul 14, 2020","2,183.61","2,176.43","2,183.61","2,165.60",810.95M,-0.11
"Jul 13, 2020","2,186.06","2,170.51","2,188.80","2,163.07",650.23M,1.67
"Jul 10, 2020","2,150.25","2,171.44","2,171.52","2,140.29",886.99M,-0.81
"Jul 09, 2020","2,167.90","2,171.15","2,181.48","2,166.74",619.37M,0.42
"Jul 08, 2020","2,158.88","2,166.76","2,173.83","2,150.89",677.81M,-0.24
"Jul 07, 2020","2,164.17","2,202.04","2,206.79","2,164.03",847.43M,-1.09
"Jul 06, 2020","2,187.93","2,158.95","2,191.28","2,157.71",666.90M,1.65
"Jul 03, 2020","2,152.41","2,147.89","2,153.54","2,135.30",770.05M,0.8
"Jul 02, 2020","2,135.37","2,116.72","2,135.37","2,113.98",1.07M,1.36
"Jul 01, 2020","2,106.70","2,128.81","2,133.55","2,101.33",1.12B,-0.08
"Jun 30, 2020","2,108.33","2,124.38","2,134.38","2,108.26",708.60M,0.71
"Jun 29, 2020","2,093.48","2,105.54","2,120.50","2,087.84",643.16M,-1.93
"Jun 26, 2020","2,134.65","2,137.47","2,142.04","2,115.25",761.04M,1.05
"Jun 25, 2020","2,112.37","2,130.45","2,143.33","2,112.37",1.02B,-2.27
"Jun 24, 2020","2,161.51","2,145.93","2,171.86","2,143.91",913.90M,1.42
"Jun 23, 2020","2,131.24","2,149.13","2,158.15","2,110.51",917.57M,0.21
"Jun 22, 2020","2,126.73","2,126.38","2,142.88","2,122.10",789.37M,-0.68
"Jun 19, 2020","2,141.32","2,153.09","2,153.57","2,108.91",1.08B,0.37
"Jun 18, 2020","2,133.48","2,134.35","2,145.13","2,120.29",767.18M,-0.35
"Jun 17, 2020","2,141.05","2,133.18","2,154.37","2,105.26",927.52M,0.14
"Jun 16, 2020","2,138.05","2,091.09","2,138.08","2,079.02",973.64M,5.28
"Jun 15, 2020","2,030.82","2,114.41","2,129.67","2,030.82",1.07B,-4.76
"Jun 12, 2020","2,132.30","2,088.24","2,137.12","2,084.63",689.90M,-2.04
"Jun 11, 2020","2,176.78","2,184.36","2,200.72","2,148.51",827.38M,-0.86
"Jun 10, 2020","2,195.69","2,187.91","2,200.68","2,178.12",706.29M,0.31
"Jun 09, 2020","2,188.92","2,206.23","2,212.17","2,166.01",817.08M,0.21
"Jun 08, 2020","2,184.29","2,215.60","2,217.21","2,174.96",854.04M,0.11
"Jun 05, 2020","2,181.87","2,151.17","2,187.25","2,138.18",854.59M,1.43
"Jun 04, 2020","2,151.18","2,181.64","2,191.00","2,139.68",1.39B,0.19
"Jun 03, 2020","2,147.00","2,108.55","2,156.55","2,107.69",1.15B,2.87
"Jun 02, 2020","2,087.19","2,061.45","2,089.43","2,059.14",1.00B,1.07
"Jun 01, 2020","2,065.08","2,037.04","2,065.38","2,035.63",997.35M,1.75
"May 29, 2020","2,029.60","2,018.37","2,038.89","2,006.62",1.09B,0.05
"May 28, 2020","2,028.54","2,047.08","2,054.52","2,003.75",1.17B,-0.13
"May 27, 2020","2,031.20","2,027.90","2,043.44","2,019.82",1.18B,0.07
"May 26, 2020","2,029.78","2,001.00","2,029.89","1,997.94",1.02B,1.76
"May 25, 2020","1,994.60","1,980.51","1,994.90","1,967.84",641.46M,1.24
"May 22, 2020","1,970.13","2,001.60","2,002.65","1,961.40",847.47M,-1.41
"May 21, 2020","1,998.31","2,003.20","2,004.95","1,993.00",601.20M,0.44
"May 20, 2020","1,989.64","1,972.12","1,992.20","1,972.12",699.45M,0.46
"May 19, 2020","1,980.61","1,977.47","1,983.77","1,968.59",773.41M,2.25
"May 18, 2020","1,937.11","1,934.51","1,943.07","1,921.14",761.69M,0.51
"May 15, 2020","1,927.28","1,937.63","1,938.59","1,913.21",866.36M,0.12
"May 14, 2020","1,924.96","1,922.44","1,931.43","1,913.49",760.65M,-0.8
"May 13, 2020","1,940.42","1,897.50","1,940.42","1,897.24",618.78M,0.95
"May 12, 2020","1,922.17","1,938.62","1,938.62","1,905.17",799.93M,-0.68
"May 11, 2020","1,935.40","1,953.51","1,960.46","1,932.87",591.28M,-0.54
"May 08, 2020","1,945.82","1,944.94","1,956.89","1,942.54",784.77M,0.89
"May 07, 2020","1,928.61","1,922.00","1,938.50","1,918.57",775.66M,-0.01
"May 06, 2020","1,928.76","1,919.45","1,928.76","1,902.55",1.08B,1.76
"May 04, 2020","1,895.37","1,906.42","1,918.66","1,894.29",1.15B,-2.68
"Apr 29, 2020","1,947.56","1,936.89","1,957.51","1,934.31",1.98B,0.7
"Apr 28, 2020","1,934.09","1,931.25","1,941.79","1,911.63",1.17B,0.59
"Apr 27, 2020","1,922.77","1,897.06","1,929.82","1,894.62",735.66M,1.79
"Apr 24, 2020","1,889.01","1,906.07","1,908.29","1,880.71",933.92M,-1.34
"Apr 23, 2020","1,914.73","1,907.45","1,923.53","1,895.98",683.72M,0.98
"Apr 22, 2020","1,896.15","1,855.51","1,897.90","1,844.85",820.36M,0.89
"Apr 21, 2020","1,879.38","1,886.78","1,898.32","1,841.66",1.17B,-1
"Apr 20, 2020","1,898.36","1,908.34","1,925.25","1,893.17",1.09B,-0.84
"Apr 17, 2020","1,914.53","1,893.31","1,926.02","1,893.19",1.67B,3.09
"Apr 16, 2020","1,857.07","1,839.51","1,862.23","1,828.13",878.34M,0
"Apr 14, 2020","1,857.08","1,846.41","1,864.46","1,837.17",886.77M,1.72
"Apr 13, 2020","1,825.76","1,853.30","1,853.30","1,825.76",1.02B,-1.88
"Apr 10, 2020","1,860.70","1,835.76","1,861.10","1,824.43",992.55M,1.33
"Apr 09, 2020","1,836.21","1,838.09","1,839.33","1,818.30",920.57M,1.61
"Apr 08, 2020","1,807.14","1,815.75","1,842.16","1,801.80",907.49M,-0.9
"Apr 07, 2020","1,823.60","1,826.72","1,838.97","1,791.92",951.74M,1.77
"Apr 06, 2020","1,791.88","1,745.25","1,794.19","1,742.67",1.22B,3.85
"Apr 03, 2020","1,725.44","1,731.17","1,743.91","1,706.68",1.00B,0.03
"Apr 02, 2020","1,724.86","1,693.53","1,726.76","1,664.13",766.31M,2.34
"Apr 01, 2020","1,685.46","1,737.28","1,762.44","1,685.37",1.24B,-3.94
"Mar 31, 2020","1,754.64","1,739.29","1,757.81","1,722.62",1.04B,2.19
"Mar 30, 2020","1,717.12","1,670.34","1,729.63","1,659.95",767.78M,-0.04
"Mar 27, 2020","1,717.73","1,756.07","1,759.05","1,668.21",1.08B,1.87
"Mar 26, 2020","1,686.24","1,699.11","1,735.75","1,679.23",992.47M,-1.09
"Mar 25, 2020","1,704.76","1,668.19","1,707.64","1,645.28",872.81M,5.89
"Mar 24, 2020","1,609.97","1,523.69","1,609.97","1,508.68",679.29M,8.6
"Mar 23, 2020","1,482.46","1,474.45","1,516.75","1,458.41",647.53M,-5.34
"Mar 20, 2020","1,566.15","1,498.49","1,566.82","1,466.48",817.02M,7.44
"Mar 19, 2020","1,457.64","1,626.09","1,626.09","1,439.43",977.67M,-8.39
"Mar 18, 2020","1,591.20","1,686.12","1,693.95","1,591.12",728.01M,-4.86
"Mar 17, 2020","1,672.44","1,640.84","1,722.97","1,637.88",649.78M,-2.47
"Mar 16, 2020","1,714.86","1,805.43","1,805.43","1,714.38",682.00M,-3.19
"Mar 13, 2020","1,771.44","1,722.68","1,809.31","1,680.60",1.04B,-3.43
"Mar 12, 2020","1,834.33","1,887.97","1,897.23","1,808.56",850.34M,-3.87
"Mar 11, 2020","1,908.27","1,965.67","1,967.70","1,898.27",679.72M,-2.78
"Mar 10, 2020","1,962.93","1,942.85","1,968.17","1,934.72",638.56M,0.42
"Mar 09, 2020","1,954.77","1,981.02","1,989.50","1,946.90",666.87M,-4.19
"Mar 06, 2020","2,040.22","2,053.09","2,062.57","2,032.13",865.59M,-2.16
"Mar 05, 2020","2,085.26","2,078.11","2,089.08","2,059.99",675.20M,1.26
"Mar 04, 2020","2,059.33","2,005.81","2,063.59","2,005.81",606.29M,2.24
"Mar 03, 2020","2,014.15","2,051.85","2,051.85","2,009.39",615.69M,0.58
"Mar 02, 2020","2,002.51","1,997.03","2,017.07","1,969.34",528.10M,0.78
"Feb 28, 2020","1,987.01","2,020.17","2,031.01","1,980.82",671.55M,-3.3
"Feb 27, 2020","2,054.89","2,073.87","2,085.40","2,049.15",562.77M,-1.05
"Feb 26, 2020","2,076.77","2,064.07","2,089.64","2,059.13",810.94M,-1.28
"Feb 25, 2020","2,103.61","2,075.55","2,105.49","2,071.50",1.57B,1.18
"Feb 24, 2020","2,079.04","2,114.04","2,120.06","2,079.03",948.62M,-3.87
"Feb 21, 2020","2,162.84","2,165.65","2,184.43","2,160.28",635.47M,-1.49
"Feb 20, 2020","2,195.50","2,223.55","2,228.18","2,186.72",709.56M,-0.67
"Feb 19, 2020","2,210.34","2,222.51","2,226.00","2,191.20",591.16M,0.07
"Feb 18, 2020","2,208.88","2,225.98","2,232.93","2,205.21",470.42M,-1.48
"Feb 17, 2020","2,242.17","2,243.07","2,250.05","2,230.26",458.25M,-0.06
"Feb 14, 2020","2,243.59","2,232.71","2,251.50","2,221.90",597.22M,0.48
"Feb 13, 2020","2,232.96","2,245.72","2,255.49","2,230.30",638.67M,-0.24
"Feb 12, 2020","2,238.38","2,225.95","2,242.24","2,214.77",632.46M,0.69
"Feb 11, 2020","2,223.12","2,213.50","2,233.32","2,211.25",526.21M,1
"Feb 10, 2020","2,201.07","2,185.63","2,203.39","2,180.51",609.57M,-0.49
"Feb 07, 2020","2,211.95","2,221.49","2,223.92","2,198.14",800.34M,-0.72
"Feb 06, 2020","2,227.94","2,184.77","2,229.99","2,182.25",695.22M,2.88
"Feb 05, 2020","2,165.63","2,177.26","2,181.52","2,154.88",574.40M,0.36
"Feb 04, 2020","2,157.90","2,121.22","2,162.32","2,120.53",624.64M,1.84
"Feb 03, 2020","2,118.88","2,086.61","2,126.73","2,082.74",836.70M,-0.01
"Jan 31, 2020","2,119.01","2,160.60","2,167.23","2,119.01",710.51M,-1.35
"Jan 30, 2020","2,148.00","2,181.54","2,187.45","2,139.72",602.84M,-1.71
"Jan 29, 2020","2,185.28","2,188.18","2,195.45","2,172.33",692.30M,0.39
"Jan 28, 2020","2,176.72","2,192.22","2,199.93","2,166.23",808.88M,-3.09
"Jan 23, 2020","2,246.13","2,254.54","2,260.63","2,241.94",509.61M,-0.93
"Jan 22, 2020","2,267.25","2,238.53","2,269.27","2,235.13",608.51M,1.23
"Jan 21, 2020","2,239.69","2,259.81","2,266.31","2,238.25",770.32M,-1.01
"Jan 20, 2020","2,262.64","2,261.40","2,277.23","2,258.09",545.49M,0.54
"Jan 17, 2020","2,250.57","2,261.57","2,268.71","2,245.58",580.82M,0.11
"Jan 16, 2020","2,248.05","2,231.93","2,249.09","2,225.41",808.33M,0.77
"Jan 15, 2020","2,230.98","2,229.80","2,238.21","2,223.39",746.16M,-0.35
"Jan 14, 2020","2,238.88","2,243.06","2,250.79","2,232.94",835.90M,0.43
"Jan 13, 2020","2,229.26","2,204.49","2,230.43","2,204.49",488.29M,1.04
"Jan 10, 2020","2,206.39","2,189.48","2,206.92","2,188.10",594.54M,0.91
"Jan 09, 2020","2,186.45","2,182.20","2,186.45","2,172.16",592.60M,1.63
"Jan 08, 2020","2,151.31","2,156.27","2,162.32","2,137.72",913.83M,-1.11
"Jan 07, 2020","2,175.54","2,166.60","2,181.62","2,164.27",568.24M,0.95
"Jan 06, 2020","2,155.07","2,154.97","2,164.42","2,149.95",592.67M,-0.98
"Jan 03, 2020","2,176.46","2,192.58","2,203.38","2,165.39",631.56M,0.06
"Jan 02, 2020","2,175.17","2,201.21","2,202.32","2,171.84",494.68M,-1.02
